,比赛,时间,主队,比分,客队
792,国际友谊,2017-11-15 00:30,阿根廷,2-4,尼日利亚
793,南美预选,2017-10-11 07:30,厄瓜多尔,1-3,阿根廷
794,南美预选,2017-09-06 07:30,阿根廷,1-1,委内瑞拉
795,国际友谊,2017-06-13 20:00,新加坡,0-6,阿根廷
796,国际友谊,2017-06-09 18:05,巴西,0-1,阿根廷
797,南美预选,2017-03-29 04:00,玻利维亚,2-0,阿根廷
798,南美预选,2017-03-24 07:30,阿根廷,1-0,智利
799,南美预选,2016-11-16 07:30,阿根廷,3-0,哥伦比亚
800,南美预选,2016-11-11 07:45,巴西,3-0,阿根廷
801,南美预选,2016-10-12 07:30,阿根廷,0-1,巴拉圭
802,南美预选,2016-09-07 07:25,委内瑞拉,2-2,阿根廷
803,美洲杯,2016-06-27 08:00,阿根廷,0-0,智利
804,美洲杯,2016-06-22 09:00,美国,0-4,阿根廷
805,美洲杯,2016-06-19 07:00,阿根廷,4-1,委内瑞拉
806,美洲杯,2016-06-15 10:20,阿根廷,3-0,玻利维亚
807,美洲杯,2016-06-11 09:30,阿根廷,5-0,巴拿马
808,美洲杯,2016-06-07 10:00,阿根廷,2-1,智利
809,国际友谊,2016-05-28 07:00,阿根廷,1-0,洪都拉斯
810,南美预选,2016-03-30 07:30,阿根廷,2-0,玻利维亚
811,南美预选,2016-03-25 07:30,智利,1-2,阿根廷
812,南美预选,2015-11-18 04:30,哥伦比亚,0-1,阿根廷
813,南美预选,2015-11-14 08:00,阿根廷,1-1,巴西
814,南美预选,2015-10-14 08:00,巴拉圭,0-0,阿根廷
815,南美预选,2015-10-09 08:00,阿根廷,0-2,厄瓜多尔
816,国际友谊,2015-09-09 10:30,阿根廷,2-2,墨西哥
817,国际友谊,2015-09-05 08:30,阿根廷,7-0,玻利维亚
818,美洲杯,2015-07-05 04:00,智利,0-0,阿根廷
819,美洲杯,2015-07-01 07:30,阿根廷,6-1,巴拉圭
820,美洲杯,2015-06-27 07:30,阿根廷,0-0,哥伦比亚
821,美洲杯,2015-06-21 05:30,阿根廷,1-0,牙买加
822,美洲杯,2015-06-14 05:30,阿根廷,2-2,巴拉圭
823,国际友谊,2015-06-07 07:05,阿根廷,5-0,玻利维亚
824,国际友谊,2015-04-01 08:00,阿根廷,2-1,厄瓜多尔
825,国际友谊,2015-03-29 04:30,萨尔瓦多,0-2,阿根廷
826,国际友谊,2014-11-13 03:45,阿根廷,2-1,克罗地亚
827,国际友谊,2014-10-14 20:00,中国香港,0-7,阿根廷
828,国际友谊,2014-10-11 20:10,巴西,2-0,阿根廷
829,国际友谊,2014-09-04 02:45,德国,2-4,阿根廷
830,世界杯,2014-07-14 03:00,德国,0-0,阿根廷
831,世界杯,2014-07-10 04:00,阿根廷,0-0,荷兰
832,世界杯,2014-07-06 00:00,阿根廷,1-0,比利时
833,世界杯,2014-07-02 00:00,阿根廷,0-0,瑞士
834,世界杯,2014-06-26 00:00,尼日利亚,2-3,阿根廷
835,世界杯,2014-06-16 06:00,阿根廷,2-1,波黑
836,国际友谊,2014-06-08 02:50,阿根廷,2-0,斯洛文尼亚
837,国际友谊,2014-06-05 06:15,阿根廷,3-0,特立尼达和多巴哥
838,国际友谊,2014-03-06 03:00,罗马尼亚,0-0,阿根廷
839,球会友谊,2013-11-19 09:30,阿根廷,2-0,波黑
840,球会友谊,2013-11-16 09:00,阿根廷,0-0,厄瓜多尔
841,南美预选,2013-09-11 09:40,巴拉圭,2-5,阿根廷
842,球会友谊,2013-08-15 02:45,意大利,1-2,阿根廷
843,南美预选,2013-06-12 05:00,厄瓜多尔,1-1,阿根廷
844,南美预选,2013-06-08 06:00,阿根廷,0-0,哥伦比亚
845,南美预选,2013-03-27 04:00,玻利维亚,1-1,阿根廷
846,南美预选,2013-03-23 08:00,阿根廷,3-0,委内瑞拉
847,球会友谊,2013-02-07 03:30,瑞典,2-3,阿根廷
848,南美预选,2012-10-17 08:05,智利,1-2,阿根廷
849,南美预选,2012-09-08 07:10,阿根廷,3-1,巴拉圭
850,球会友谊,2012-08-16 02:45,德国,1-3,阿根廷
851,球会友谊,2012-06-10 03:00,阿根廷,4-3,巴西
852,南美预选,2012-06-03 06:30,阿根廷,4-0,厄瓜多尔
853,球会友谊,2012-03-01 03:30,瑞士,1-3,阿根廷
854,南美预选,2011-11-16 05:00,哥伦比亚,1-2,阿根廷
855,南美预选,2011-11-12 04:00,阿根廷,1-1,玻利维亚
856,南美预选,2011-10-12 08:50,委内瑞拉,1-0,阿根廷
857,美洲杯,2011-07-12 08:45,阿根廷,3-0,哥斯达黎加
858,美洲杯,2011-07-07 08:45,阿根廷,0-0,哥伦比亚
859,美洲杯,2011-07-02 08:50,阿根廷,1-1,玻利维亚
860,欧洲预选,2017-11-13 03:45,希腊,0-0,克罗地亚
861,欧洲预选,2017-11-10 03:45,克罗地亚,4-1,希腊
862,欧洲预选,2017-10-10 02:45,乌克兰,0-2,克罗地亚
863,欧洲预选,2017-10-07 02:45,克罗地亚,1-1,芬兰
864,欧洲预选,2017-09-06 02:45,土耳其,1-0,克罗地亚
865,欧洲预选,2017-09-03 20:30,克罗地亚,1-0,科索沃
866,国际友谊,2017-05-28 07:30,墨西哥,1-2,克罗地亚
867,国际友谊,2017-03-28 23:59,爱沙尼亚,3-0,克罗地亚
868,欧洲预选,2017-03-25 03:45,克罗地亚,1-0,乌克兰
869,中国杯,2017-01-14 15:35,中国,1-1,克罗地亚
870,中国杯,2017-01-11 19:35,智利,1-1,克罗地亚
871,国际友谊,2016-11-16 04:00,北爱尔兰,0-3,克罗地亚
872,欧洲预选,2016-10-09 23:59,芬兰,0-1,克罗地亚
873,欧洲预选,2016-10-07 02:45,科索沃,0-6,克罗地亚
874,欧洲预选,2016-09-06 02:45,克罗地亚,1-1,土耳其
875,欧洲杯,2016-06-17 23:59,捷克,2-2,克罗地亚
876,欧洲杯,2016-06-12 21:00,克罗地亚,1-0,土耳其
877,国际友谊,2016-06-05 02:15,克罗地亚,10-0,圣马力诺
878,国际友谊,2016-05-28 02:30,克罗地亚,1-0,摩尔多瓦
879,国际友谊,2016-03-27 01:00,匈牙利,1-1,克罗地亚
880,国际友谊,2016-03-24 01:00,克罗地亚,2-0,以色列
881,欧洲杯,2015-10-14 02:45,马耳他,0-1,克罗地亚
882,欧洲杯,2015-10-11 02:45,克罗地亚,3-0,保加利亚
883,欧洲杯,2015-09-06 23:59,挪威,2-0,克罗地亚
884,欧洲杯,2015-09-03 23:59,阿塞拜疆,0-0,克罗地亚
885,欧洲杯,2015-06-13 02:45,克罗地亚,1-1,意大利
886,国际友谊,2015-06-07 23:59,克罗地亚,4-0,直布罗陀
887,欧洲杯,2015-03-29 01:00,克罗地亚,5-1,挪威
888,欧洲杯,2014-11-17 03:45,意大利,1-1,克罗地亚
889,欧洲杯,2014-10-14 02:45,克罗地亚,6-0,阿塞拜疆
890,欧洲杯,2014-10-11 02:45,保加利亚,0-1,克罗地亚
891,欧洲杯,2014-09-10 02:45,克罗地亚,2-0,马耳他
892,国际友谊,2014-09-05 02:15,克罗地亚,2-0,塞浦路斯
893,世界杯,2014-06-24 04:00,克罗地亚,1-3,墨西哥
894,世界杯,2014-06-19 06:00,喀麦隆,0-4,克罗地亚
895,世界杯,2014-06-13 04:00,巴西,3-1,克罗地亚
896,国际友谊,2014-05-31 22:00,克罗地亚,2-1,马里
897,国际友谊,2014-03-06 03:30,瑞士,2-2,克罗地亚
898,欧洲预选,2013-10-16 03:00,苏格兰,2-0,克罗地亚
899,欧洲预选,2013-10-11 23:59,克罗地亚,1-2,比利时
900,球会友谊,2013-09-10 19:00,韩国,1-2,克罗地亚
901,欧洲预选,2013-09-07 02:45,塞尔维亚,1-1,克罗地亚
902,欧洲预选,2013-06-08 02:15,克罗地亚,0-1,苏格兰
903,欧洲预选,2013-03-27 03:45,威尔士,1-2,克罗地亚
904,欧洲预选,2013-03-23 01:00,克罗地亚,2-0,塞尔维亚
905,欧洲预选,2012-10-17 02:00,克罗地亚,2-0,威尔士
906,欧洲预选,2012-10-13 02:30,马其顿,1-2,克罗地亚
907,欧洲预选,2012-09-12 02:45,比利时,1-1,克罗地亚
908,欧洲预选,2012-09-08 02:15,克罗地亚,1-0,马其顿
909,欧洲杯,2012-06-14 23:59,意大利,1-1,克罗地亚
910,欧洲杯,2012-06-11 02:45,爱尔兰,1-3,克罗地亚
911,球会友谊,2012-06-03 01:00,挪威,1-1,克罗地亚
912,球会友谊,2012-05-26 02:30,克罗地亚,3-1,爱沙尼亚
913,球会友谊,2012-03-01 03:30,克罗地亚,1-3,瑞典
914,欧洲杯,2011-11-16 03:05,克罗地亚,0-0,土耳其
915,欧洲杯,2011-11-12 03:05,土耳其,0-3,克罗地亚
916,欧洲杯,2011-10-12 01:00,克罗地亚,2-0,拉脱维亚
917,欧洲杯,2011-10-08 02:45,希腊,2-0,克罗地亚
918,欧洲杯,2011-09-07 02:00,克罗地亚,3-1,以色列
919,欧洲杯,2011-09-03 01:00,马耳他,1-3,克罗地亚
920,非洲预选,2017-11-11 03:30,阿尔及利亚,1-1,尼日利亚
921,非洲预选,2017-10-07 23:59,尼日利亚,1-0,赞比亚
922,西非杯,2017-09-21 23:00,贝宁,0-1,尼日利亚
923,西非杯,2017-09-19 02:00,加纳,0-2,尼日利亚
924,西非杯,2017-09-10 23:00,布基纳法索,1-2,尼日利亚
925,非洲预选,2017-09-05 01:00,喀麦隆,1-1,尼日利亚
926,非洲预选,2017-09-01 23:59,尼日利亚,4-0,喀麦隆
927,非国锦标,2017-08-13 23:00,贝宁,1-0,尼日利亚
928,非洲杯,2017-06-10 23:59,尼日利亚,0-2,南非
929,国际友谊,2017-06-02 01:00,尼日利亚,3-0,多哥
930,国际友谊,2017-03-24 04:00,尼日利亚,1-1,塞内加尔
931,非洲预选,2016-11-12 23:59,尼日利亚,3-1,阿尔及利亚
932,非洲预选,2016-10-09 20:30,赞比亚,1-2,尼日利亚
933,非洲杯,2016-09-03 23:59,尼日利亚,1-0,坦桑尼亚
934,国际友谊,2016-06-01 01:00,卢森堡,1-3,尼日利亚
935,国际友谊,2016-05-28 01:15,尼日利亚,1-0,马里
936,非国锦标,2016-01-26 22:00,几内亚,1-0,尼日利亚
937,非国锦标,2016-01-22 21:00,突尼斯,1-1,尼日利亚
938,非国锦标,2016-01-18 23:59,尼日利亚,4-1,尼日尔
939,非洲预选,2015-11-17 23:00,尼日利亚,2-0,斯威士兰
940,国际友谊,2015-10-12 02:00,尼日利亚,3-0,喀麦隆
941,国际友谊,2015-10-09 01:00,尼日利亚,0-2,刚果民主共和国
942,非洲杯,2015-06-13 23:00,尼日利亚,2-0,乍得
943,国际友谊,2015-03-29 21:30,南非,1-1,尼日利亚
944,国际友谊,2015-03-26 01:20,尼日利亚,0-1,乌干达
945,国际友谊,2015-01-17 23:59,尼日利亚,2-0,也门
946,国际友谊,2015-01-12 00:35,科特迪瓦,1-0,尼日利亚
947,国际友谊,2014-11-08 03:15,尼日利亚,1-0,加納U23
948,非洲杯,2014-10-12 01:00,苏丹,1-0,尼日利亚
949,非洲杯,2014-09-11 02:00,南非,0-0,尼日利亚
950,世界杯,2014-06-22 06:00,尼日利亚,1-0,波黑
951,国际友谊,2014-06-08 06:00,美国,2-1,尼日利亚
952,国际友谊,2014-06-04 07:10,希腊,0-0,尼日利亚
953,国际友谊,2014-05-29 03:00,苏格兰,2-2,尼日利亚
954,国际友谊,2014-03-06 09:40,墨西哥,0-0,尼日利亚
955,球会友谊,2013-11-19 03:45,意大利,2-2,尼日利亚
956,洲际杯,2013-06-18 03:00,塔希提群岛,1-6,尼日利亚
957,球会友谊,2013-06-01 09:00,墨西哥,2-2,尼日利亚
958,国际友谊,2017-11-14 19:00,韩国,1-1,塞尔维亚
959,国际友谊,2017-11-10 19:35,中国,0-2,塞尔维亚
960,欧洲预选,2017-10-10 02:45,塞尔维亚,1-0,格鲁吉亚
961,欧洲预选,2017-10-07 02:45,奥地利,3-2,塞尔维亚
962,欧洲预选,2017-09-06 02:45,爱尔兰,0-1,塞尔维亚
963,欧洲预选,2017-09-02 23:59,塞尔维亚,3-0,摩尔多瓦
964,欧洲预选,2017-06-12 02:45,塞尔维亚,1-1,威尔士
965,欧洲预选,2017-03-25 01:00,格鲁吉亚,1-3,塞尔维亚
966,国际友谊,2017-01-30 05:30,美国,0-0,塞尔维亚
967,国际友谊,2016-11-16 03:00,乌克兰,2-0,塞尔维亚
968,欧洲预选,2016-11-13 03:45,威尔士,1-1,塞尔维亚
969,欧洲预选,2016-10-10 02:45,塞尔维亚,3-2,奥地利
970,欧洲预选,2016-10-07 02:45,摩尔多瓦,0-3,塞尔维亚
971,欧洲预选,2016-09-06 02:45,塞尔维亚,2-2,爱尔兰
972,国际友谊,2016-06-01 02:15,塞尔维亚,3-1,以色列
973,国际友谊,2016-05-25 23:00,塞尔维亚,2-1,塞浦路斯
974,国际友谊,2016-03-29 23:59,爱沙尼亚,0-1,塞尔维亚
975,国际友谊,2016-03-24 03:45,波兰,1-0,塞尔维亚
976,国际友谊,2015-11-14 03:30,捷克,4-1,塞尔维亚
977,欧洲杯,2015-10-09 02:45,阿尔巴尼亚,0-2,塞尔维亚
978,欧洲杯,2015-09-05 02:45,塞尔维亚,2-0,阿美尼亚
979,国际友谊,2015-06-07 23:00,塞尔维亚,4-1,阿塞拜疆
980,国际友谊,2014-11-19 01:00,希腊,0-2,塞尔维亚
981,欧洲杯,2014-10-15 02:45,塞尔维亚,0-3,阿尔巴尼亚
982,欧洲杯,2014-10-11 23:59,阿美尼亚,1-1,塞尔维亚
983,国际友谊,2014-06-07 03:10,巴西,1-0,塞尔维亚
984,国际友谊,2014-06-01 08:00,巴拿马,1-1,塞尔维亚
985,国际友谊,2014-05-27 04:10,塞尔维亚,2-1,牙买加
986,国际友谊,2014-03-06 03:45,爱尔兰,1-2,塞尔维亚
987,欧洲预选,2013-10-16 02:30,塞尔维亚,5-1,马其顿
988,欧洲预选,2013-09-11 02:45,威尔士,0-3,塞尔维亚
989,球会友谊,2013-08-15 02:00,哥伦比亚,1-0,塞尔维亚
990,欧洲预选,2013-06-08 02:45,比利时,2-1,塞尔维亚
991,欧洲预选,2013-03-27 03:30,塞尔维亚,2-0,苏格兰
992,球会友谊,2013-02-06 23:59,塞浦路斯,1-3,塞尔维亚
993,球会友谊,2012-11-15 03:00,智利,1-3,塞尔维亚
994,欧洲预选,2012-10-17 02:30,马其顿,1-0,塞尔维亚
995,欧洲预选,2012-10-13 02:30,塞尔维亚,0-3,比利时
996,欧洲预选,2012-09-12 02:30,塞尔维亚,6-1,威尔士
997,欧洲预选,2012-09-08 22:00,苏格兰,0-0,塞尔维亚
998,球会友谊,2012-08-16 02:45,塞尔维亚,0-0,爱尔兰
999,球会友谊,2012-06-06 01:00,瑞典,2-1,塞尔维亚
1000,欧洲杯,2011-10-12 02:45,斯洛文尼亚,1-0,塞尔维亚
1001,欧洲杯,2011-10-08 02:45,塞尔维亚,1-1,意大利
1002,欧洲杯,2011-09-07 02:30,塞尔维亚,3-1,法罗群岛
1003,欧洲杯,2011-09-03 02:45,北爱尔兰,0-1,塞尔维亚
1004,欧洲预选,2017-11-13 01:00,瑞士,0-0,北爱尔兰
1005,欧洲预选,2017-11-10 03:45,北爱尔兰,0-1,瑞士
1006,欧洲预选,2017-10-08 02:45,瑞士,5-2,匈牙利
1007,欧洲预选,2017-09-04 02:45,拉脱维亚,0-3,瑞士
1008,欧洲预选,2017-09-01 02:45,瑞士,3-0,安道尔
1009,欧洲预选,2017-06-10 02:45,法罗群岛,0-2,瑞士
1010,国际友谊,2017-06-02 02:45,瑞士,1-0,白俄罗斯
1011,欧洲预选,2017-03-26 01:00,瑞士,1-0,拉脱维亚
1012,欧洲预选,2016-11-14 01:00,瑞士,2-0,法罗群岛
1013,欧洲预选,2016-10-11 02:45,安道尔,1-2,瑞士
1014,欧洲预选,2016-10-08 02:45,匈牙利,2-3,瑞士
1015,欧洲杯,2016-06-25 21:00,瑞士,1-1,波兰
1016,欧洲杯,2016-06-15 23:59,罗马尼亚,1-1,瑞士
1017,欧洲杯,2016-06-11 21:00,瑞士,1-0,阿尔巴尼亚
1018,国际友谊,2016-06-03 23:59,瑞士,2-1,摩尔多瓦
1019,国际友谊,2016-05-28 22:15,瑞士,1-2,比利时
1020,国际友谊,2016-03-30 02:30,瑞士,0-2,波黑
1021,国际友谊,2016-03-26 03:45,爱尔兰,1-0,瑞士
1022,国际友谊,2015-11-18 03:45,奥地利,1-2,瑞士
1023,国际友谊,2015-11-14 03:45,斯洛伐克,3-2,瑞士
1024,欧洲杯,2015-10-13 02:45,爱沙尼亚,0-1,瑞士
1025,欧洲杯,2015-10-10 02:45,瑞士,7-0,圣马力诺
1026,欧洲杯,2015-09-09 02:45,英格兰,2-0,瑞士
1027,欧洲杯,2015-09-06 02:45,瑞士,3-2,斯洛文尼亚
1028,欧洲杯,2015-06-15 02:45,立陶宛,1-2,瑞士
1029,国际友谊,2015-06-11 02:15,瑞士,3-0,列支敦士登
1030,国际友谊,2015-04-01 00:10,瑞士,1-1,美国
1031,欧洲杯,2015-03-28 03:45,瑞士,3-0,爱沙尼亚
1032,国际友谊,2014-11-19 03:45,波兰,2-2,瑞士
1033,欧洲杯,2014-11-16 03:45,瑞士,4-0,立陶宛
1034,欧洲杯,2014-10-15 02:45,圣马力诺,0-4,瑞士
1035,欧洲杯,2014-10-10 02:45,斯洛文尼亚,1-0,瑞士
1036,欧洲杯,2014-09-09 02:45,瑞士,0-2,英格兰
1037,世界杯,2014-06-26 04:00,洪都拉斯,0-3,瑞士
1038,世界杯,2014-06-16 00:00,瑞士,2-1,厄瓜多尔
1039,国际友谊,2014-05-31 02:30,瑞士,1-0,牙买加
1040,球会友谊,2013-11-15 19:00,韩国,2-1,瑞士
1041,欧洲预选,2013-10-16 02:00,瑞士,1-0,斯洛文尼亚
1042,欧洲预选,2013-10-12 02:30,阿尔巴尼亚,1-2,瑞士
1043,欧洲预选,2013-09-11 01:00,挪威,0-2,瑞士
1044,球会友谊,2013-08-15 02:45,瑞士,1-0,巴西
1045,欧洲预选,2013-06-08 23:30,瑞士,1-0,塞浦路斯
1046,欧洲预选,2013-03-24 00:30,塞浦路斯,0-0,瑞士
1047,球会友谊,2013-02-07 03:30,希腊,0-0,瑞士
1048,欧洲预选,2012-10-13 02:30,瑞士,1-1,挪威
1049,欧洲预选,2012-09-12 02:30,瑞士,2-0,阿尔巴尼亚
1050,欧洲预选,2012-09-08 02:30,斯洛文尼亚,0-2,瑞士
1051,球会友谊,2012-05-31 02:15,瑞士,0-1,罗马尼亚
1052,球会友谊,2012-05-26 23:59,瑞士,5-3,德国
1053,欧洲杯,2011-10-12 02:15,瑞士,2-0,黑山
1054,欧洲杯,2011-10-08 02:45,威尔士,2-0,瑞士
1055,欧洲杯,2011-09-07 02:30,瑞士,3-1,保加利亚
1056,国际友谊,2017-11-15 04:00,英格兰,0-0,巴西
1057,国际友谊,2017-11-10 20:00,日本,1-3,巴西
1058,南美预选,2017-10-11 07:30,巴西,3-0,智利
1059,南美预选,2017-10-06 04:00,玻利维亚,0-0,巴西
1060,南美预选,2017-09-06 04:30,哥伦比亚,1-1,巴西
1061,南美预选,2017-09-01 08:45,巴西,2-0,厄瓜多尔
1062,南美预选,2017-03-29 08:45,巴西,3-0,巴拉圭
1063,国际友谊,2017-01-26 07:45,巴西,1-0,哥伦比亚
1064,南美预选,2016-10-12 08:30,委内瑞拉,0-2,巴西
1065,南美预选,2016-10-07 08:45,巴西,5-0,玻利维亚
1066,南美预选,2016-09-07 08:45,巴西,2-1,哥伦比亚
1067,南美预选,2016-09-02 05:00,厄瓜多尔,0-3,巴西
1068,美洲杯,2016-06-09 07:30,巴西,7-1,海地
1069,美洲杯,2016-06-05 10:00,巴西,0-0,厄瓜多尔
1070,国际友谊,2016-05-30 09:30,巴西,2-0,巴拿马
1071,南美预选,2016-03-30 08:45,巴拉圭,2-2,巴西
1072,南美预选,2015-10-14 09:00,巴西,3-1,委内瑞拉
1073,南美预选,2015-10-09 07:35,智利,2-0,巴西
1074,国际友谊,2015-09-09 08:40,美国,1-4,巴西
1075,国际友谊,2015-09-06 04:00,哥斯达黎加,0-1,巴西
1076,美洲杯,2015-06-28 05:30,巴西,1-1,巴拉圭
1077,美洲杯,2015-06-22 05:30,巴西,2-1,委内瑞拉
1078,美洲杯,2015-06-18 08:00,巴西,0-1,哥伦比亚
1079,国际友谊,2015-06-11 09:00,巴西,1-0,洪都拉斯
1080,国际友谊,2015-06-08 04:00,巴西,2-0,墨西哥
1081,国际友谊,2015-03-29 22:00,巴西,1-0,智利
1082,国际友谊,2014-11-19 02:00,奥地利,1-2,巴西
1083,国际友谊,2014-11-13 02:30,土耳其,0-4,巴西
1084,国际友谊,2014-10-14 18:45,日本,0-4,巴西
1085,国际友谊,2014-09-10 09:00,巴西,1-0,厄瓜多尔
1086,国际友谊,2014-09-06 09:00,巴西,1-0,哥伦比亚
1087,世界杯,2014-07-13 04:00,巴西,0-3,荷兰
1088,世界杯,2014-07-09 04:00,巴西,1-7,德国
1089,世界杯,2014-07-05 04:00,巴西,2-1,哥伦比亚
1090,世界杯,2014-06-29 00:00,巴西,1-1,智利
1091,世界杯,2014-06-24 04:00,巴西,4-1,喀麦隆
1092,世界杯,2014-06-18 03:00,巴西,0-0,墨西哥
1093,国际友谊,2014-06-04 03:00,巴西,4-0,巴拿马
1094,国际友谊,2014-03-06 01:00,南非,0-5,巴西
1095,球会友谊,2013-11-20 09:00,巴西,2-1,智利
1096,球会友谊,2013-11-17 08:30,巴西,5-0,洪都拉斯
1097,球会友谊,2013-10-12 19:00,韩国,0-2,巴西
1098,洲际杯,2013-06-23 03:00,巴西,4-2,意大利
1099,洲际杯,2013-06-20 03:00,巴西,2-0,墨西哥
1100,洲际杯,2013-06-16 03:00,巴西,3-0,日本
1101,球会友谊,2013-06-03 03:00,巴西,2-2,英格兰
1102,球会友谊,2013-03-22 03:30,巴西,2-2,意大利
1103,球会友谊,2013-02-07 03:30,英格兰,2-1,巴西
1104,球会友谊,2012-11-15 08:30,巴西,1-1,哥伦比亚
1105,球会友谊,2012-10-16 20:10,日本,0-4,巴西
1106,球会友谊,2012-09-11 09:00,巴西,8-0,中国
1107,球会友谊,2012-08-16 02:00,瑞典,0-3,巴西
1108,球会友谊,2012-06-04 03:00,巴西,0-2,墨西哥
1109,球会友谊,2012-05-31 08:00,美国,1-4,巴西
1110,球会友谊,2012-02-29 03:00,波黑,1-2,巴西
1111,美洲杯,2011-07-18 03:00,巴西,0-0,巴拉圭
1112,美洲杯,2011-07-14 08:45,巴西,4-2,厄瓜多尔
1113,美洲杯,2011-07-10 03:00,巴西,2-2,巴拉圭
1114,美洲杯,2011-07-04 03:00,巴西,0-0,委内瑞拉
1115,国际友谊,2017-11-15 03:15,匈牙利,1-0,哥斯达黎加
1116,北美预选,2017-10-11 08:00,巴拿马,2-1,哥斯达黎加
1117,北美预选,2017-10-08 06:00,哥斯达黎加,1-1,洪都拉斯
1118,北美预选,2017-09-06 10:05,哥斯达黎加,1-1,墨西哥
1119,北美预选,2017-09-02 06:55,美国,0-2,哥斯达黎加
1120,美金杯,2017-07-23 10:15,哥斯达黎加,0-2,美国
1121,美金杯,2017-07-20 06:15,哥斯达黎加,1-0,巴拿马
1122,美金杯,2017-07-15 07:35,哥斯达黎加,3-0,法属圭亚那
1123,美金杯,2017-07-12 07:40,哥斯达黎加,1-1,加拿大
1124,美金杯,2017-07-08 09:35,洪都拉斯,0-1,哥斯达黎加
1125,北美预选,2017-06-14 10:00,哥斯达黎加,2-1,特立尼达和多巴哥
1126,北美预选,2017-06-09 10:00,哥斯达黎加,0-0,巴拿马
1127,北美预选,2017-03-29 05:00,洪都拉斯,1-1,哥斯达黎加
1128,北美预选,2017-03-25 09:50,墨西哥,2-0,哥斯达黎加
1129,中美杯,2017-01-23 05:05,巴拿马,1-0,哥斯达黎加
1130,中美杯,2017-01-21 07:30,洪都拉斯,1-1,哥斯达黎加
1131,中美杯,2017-01-18 07:35,哥斯达黎加,0-0,尼加拉瓜
1132,中美杯,2017-01-16 02:00,伯利兹,0-3,哥斯达黎加
1133,中美杯,2017-01-14 07:30,哥斯达黎加,0-0,萨尔瓦多
1134,北美预选,2016-11-16 10:05,哥斯达黎加,4-0,美国
1135,北美预选,2016-11-12 07:00,特立尼达和多巴哥,0-2,哥斯达黎加
1136,北美预选,2016-09-07 09:30,哥斯达黎加,3-1,巴拿马
1137,北美预选,2016-09-03 08:00,海地,0-1,哥斯达黎加
1138,美洲杯,2016-06-12 09:20,哥伦比亚,2-3,哥斯达黎加
1139,美洲杯,2016-06-08 08:00,美国,4-0,哥斯达黎加
1140,美洲杯,2016-06-05 05:00,哥斯达黎加,0-0,巴拉圭
1141,国际友谊,2016-05-28 10:00,哥斯达黎加,2-1,委内瑞拉
1142,北美预选,2016-03-30 10:00,哥斯达黎加,3-0,牙买加
1143,北美预选,2016-03-26 08:00,牙买加,1-1,哥斯达黎加
1144,国际友谊,2016-02-03 08:00,委内瑞拉,1-0,哥斯达黎加
1145,北美预选,2015-11-18 09:30,巴拿马,1-2,哥斯达黎加
1146,北美预选,2015-11-14 10:00,哥斯达黎加,1-0,海地
1147,国际友谊,2015-10-14 07:05,美国,0-1,哥斯达黎加
1148,国际友谊,2015-10-09 10:05,哥斯达黎加,0-1,南非
1149,美金杯,2015-07-20 07:30,墨西哥,0-0,哥斯达黎加
1150,美金杯,2015-07-15 08:45,加拿大,0-0,哥斯达黎加
1151,美金杯,2015-07-12 09:00,哥斯达黎加,1-1,萨尔瓦多
1152,美金杯,2015-07-09 08:10,哥斯达黎加,2-2,牙买加
1153,国际友谊,2015-06-28 06:10,墨西哥,2-2,哥斯达黎加
1154,国际友谊,2015-06-07 05:15,哥伦比亚,1-0,哥斯达黎加
1155,国际友谊,2015-04-01 09:00,巴拿马,2-1,哥斯达黎加
1156,国际友谊,2015-03-27 10:00,哥斯达黎加,0-0,巴拉圭
1157,国际友谊,2014-10-14 19:00,韩国,1-3,哥斯达黎加
1158,国际友谊,2014-10-10 22:30,阿曼,3-4,哥斯达黎加
1159,中美杯,2014-09-14 12:00,危地马拉,1-2,哥斯达黎加
1160,中美杯,2014-09-08 05:00,哥斯达黎加,2-2,巴拿马
1161,中美杯,2014-09-04 05:30,哥斯达黎加,3-0,尼加拉瓜
1162,世界杯,2014-07-06 04:00,荷兰,0-0,哥斯达黎加
1163,世界杯,2014-06-30 04:00,哥斯达黎加,1-1,希腊
1164,世界杯,2014-06-25 00:00,哥斯达黎加,0-0,英格兰
1165,世界杯,2014-06-21 00:00,意大利,0-1,哥斯达黎加
1166,国际友谊,2014-06-07 08:10,爱尔兰,1-1,哥斯达黎加
1167,国际友谊,2014-06-03 09:00,日本,3-1,哥斯达黎加
1168,国际友谊,2014-03-06 10:05,哥斯达黎加,2-1,巴拉圭
1169,北美预选,2013-10-16 09:30,哥斯达黎加,2-1,墨西哥
1170,北美预选,2013-10-12 05:00,洪都拉斯,1-0,哥斯达黎加
1171,北美预选,2013-09-11 08:00,牙买加,1-1,哥斯达黎加
1172,北美预选,2012-09-12 09:00,墨西哥,1-0,哥斯达黎加
1173,球会友谊,2012-03-01 03:45,威尔士,0-1,哥斯达黎加
1174,美洲杯,2011-07-08 06:15,玻利维亚,0-2,哥斯达黎加
1175,美洲杯,2011-07-03 02:30,哥伦比亚,1-0,哥斯达黎加
1176,欧洲预选,2017-11-14 03:45,意大利,0-0,瑞典
1177,欧洲预选,2017-11-11 03:45,瑞典,1-0,意大利
1178,欧洲预选,2017-10-11 02:45,荷兰,2-0,瑞典
