,比赛,时间,主队,比分,客队
133,国际友谊,2016-05-28 07:00,乌拉圭,3-1,特立尼达和多巴哥
134,南美预选,2016-03-30 07:00,乌拉圭,1-0,秘鲁
135,南美预选,2016-03-26 08:45,巴西,2-2,乌拉圭
136,南美预选,2015-11-18 07:00,乌拉圭,3-0,智利
137,南美预选,2015-11-13 05:00,厄瓜多尔,2-1,乌拉圭
138,南美预选,2015-10-14 07:00,乌拉圭,3-0,哥伦比亚
139,南美预选,2015-10-09 04:00,玻利维亚,0-2,乌拉圭
140,国际友谊,2015-09-09 10:00,哥斯达黎加,1-0,乌拉圭
141,国际友谊,2015-09-05 09:35,巴拿马,0-1,乌拉圭
142,美洲杯,2015-06-25 07:30,智利,1-0,乌拉圭
143,美洲杯,2015-06-21 03:00,乌拉圭,1-1,巴拉圭
144,美洲杯,2015-06-17 07:30,阿根廷,1-0,乌拉圭
145,美洲杯,2015-06-14 03:00,乌拉圭,1-0,牙买加
146,国际友谊,2015-06-07 06:05,乌拉圭,5-1,危地马拉
147,国际友谊,2015-03-29 03:00,摩洛哥,0-1,乌拉圭
148,国际友谊,2014-11-19 08:10,智利,1-2,乌拉圭
149,国际友谊,2014-11-14 07:10,乌拉圭,3-3,哥斯达黎加
150,国际友谊,2014-10-13 22:30,阿曼,0-3,乌拉圭
151,国际友谊,2014-10-11 01:15,沙特阿拉伯,1-1,乌拉圭
152,国际友谊,2014-09-08 19:00,韩国,0-1,乌拉圭
153,国际友谊,2014-09-05 18:25,日本,0-2,乌拉圭
154,世界杯,2014-06-29 04:00,哥伦比亚,2-0,乌拉圭
155,世界杯,2014-06-25 00:00,意大利,0-1,乌拉圭
156,世界杯,2014-06-20 03:00,乌拉圭,2-1,英格兰
157,世界杯,2014-06-15 03:00,乌拉圭,1-3,哥斯达黎加
158,国际友谊,2014-06-05 07:30,乌拉圭,2-0,斯洛文尼亚
159,国际友谊,2014-05-31 07:30,乌拉圭,1-0,北爱尔兰
160,国际友谊,2014-03-06 03:30,奥地利,1-1,乌拉圭
161,世界杯附,2013-11-21 07:00,乌拉圭,0-0,约旦
162,世界杯附,2013-11-13 23:00,约旦,0-5,乌拉圭
163,南美预选,2013-10-16 07:30,乌拉圭,3-2,阿根廷
164,南美预选,2013-10-12 05:00,厄瓜多尔,1-0,乌拉圭
165,南美预选,2013-09-11 06:00,乌拉圭,2-0,哥伦比亚
166,南美预选,2013-09-07 10:30,秘鲁,1-2,乌拉圭
167,麒麟杯,2013-08-14 18:20,日本,2-4,乌拉圭
168,洲际杯,2013-06-30 23:59,意大利,2-2,乌拉圭
169,洲际杯,2013-06-27 03:00,巴西,2-1,乌拉圭
170,洲际杯,2013-06-24 03:00,乌拉圭,8-0,塔希提群岛
171,洲际杯,2013-06-21 06:00,尼日利亚,1-2,乌拉圭
172,洲际杯,2013-06-17 06:00,西班牙,2-1,乌拉圭
173,南美预选,2013-06-12 08:00,委内瑞拉,0-1,乌拉圭
174,球会友谊,2013-06-06 03:00,乌拉圭,1-0,法国
175,南美预选,2013-03-27 07:30,智利,2-0,乌拉圭
176,南美预选,2013-03-23 06:00,乌拉圭,1-1,巴拉圭
177,球会友谊,2013-02-07 02:00,西班牙,3-1,乌拉圭
178,球会友谊,2012-11-15 03:45,波兰,1-3,乌拉圭
179,南美预选,2012-10-17 04:00,玻利维亚,4-1,乌拉圭
180,南美预选,2012-10-13 08:00,阿根廷,3-0,乌拉圭
181,南美预选,2012-09-12 05:30,乌拉圭,1-1,厄瓜多尔
182,南美预选,2012-09-08 04:30,哥伦比亚,4-0,乌拉圭
183,球会友谊,2012-08-16 03:00,法国,0-0,乌拉圭
184,南美预选,2012-06-03 02:00,乌拉圭,1-1,委内瑞拉
